#Jellyfish(all)100702.txt
#http://forum.enjoysudoku.com/a-pure-jellyfish-collection-t5776.html
#Puzzle,Label,Score,JF>=
.1......23.4.......5..6.4.....5....1..6.7..8......37....7..26......8..4.1..3....5,W4-JPF-005,3,1
.1.2...3.4...5...6.....1...7...8.1...2.5.9.6...5.6...8...9.....5...7...4.6...5.2.,W4-JPF-006,3,1
.1.2...3.4...1...5.....6...2...4.5...4.1.2.7...3.5...8...3.....9...2...4.7...8.1.,W4-Mauricio-006,3,1
1.2.3.4.5.........4..8.5..3..3...2..2...7...4..4...6..8..1.6..7.........7.6.4.5.8,W4-gsf-002,3,1
..12......3...45..6......7.7..6...2...........4...5..8.5......3..71...6......34..,W4-JPF-007,4,1
..12......3...45..6......7.7..6...2.....2.....4......8.8......3..97...6......58.4,W4-TTHsieh-002,3,1
.....12...3..4..5.2.65..7..5.....6...4.....2...1.....8..3..61.2.6..3..7...97.....,W4-JPF-008,3,1
..1.2.3...4.5.6.1.7...1...6.8.....7.1.7...8.5.2.....6.2...5...4.5.1.2.8...9.6.5..,W4-TTHsieh-003,3,2
..1...2...2.1.3.4.5.......6.1.3.6.7...........3.4.7.2.1.......7.6.7.4.3...8...9..,W4-Mauricio-007,8,3
..1...2...2.1.3.4.5.......6.1.3.4.7...........3.7.6.2.1.......7.6.4.7.3...8...9..,W4-Mauricio-008,8,3
..1...2...2.1.3.4.5.......6.1.3.6.7...........3.7.4.2.1.......7.6.4.7.3...8...9..,W4-Mauricio-009,8,3
..1...2...2.3.4.5.3.......4.5.1.6.2...........6.5.2.4.7.......8.3.6.5.1...6...9..,W4-Mauricio-010,8,3
..1...2...2.3.4.5.3.......4.5.6.2.4...........6.1.5.2.7.......8.3.5.6.1...6...9..,W4-Mauricio-011,8,3
..5...8...1.4.5.6.7.......1.5.9.6.2...........6.1.2.4.4.......9.2.6.9.1...1...3..,W4-tarek-008,8,3
..3...6...6.5.9.8.1.......7.3.8.6.9...........8.3.5.2.6.......2.5.2.8.6...9...4..,W4-tarek-009,8,3
..4...7...6.9.2.5.3.......8.8.5.9.2...........9.2.6.3.1.......5.5.3.8.9...2...3..,W4-tarek-010,8,3
.1...2...34.........2.56......3..1.2..4...7..5.8..7......14.3.........28...2...6.,W4-JPF-016,3,1
.....1..2..1....3.45.....6.....675.....8.3.....314.....7.....21.6....7..5..4.....,W4-JPF-019,3,1
...1.2......3.4.....7.6.3...8.....1...95.37..4.......21.......4..3.9.5...9.....8.,W4-gsf-029,3,1
1.......2.3..4..5...25.67....89.15......7......74.52....16.79...6..9..1.9.......8,W4-m_b_metcalf-011,3,1
..1...2...3.4.5.6.6.......4.5.6.2.7...........2.7.3.4.8.......9.6.2.7.3...3...6..,W4-JPF-034,3,3
1.......2.3..4..5...67.81....12.34.............28.46....74.63...1..8..7.9.......4,W4-gsf-033,8,2
..1.....2.3...4.5.6.....7.......8.3.....7...5.9.3.2.....6...1...4.5...9.2...9...6,W4-JPF-036,3,1
..1.....2.3...4.5.6.....7.......8.4.....2...3.9.3.5.....2...6...4.5...9.1...4...7,W4-JPF-037,3,1
..1.....2.3...4.5.6.....7.......8.3.....6...1.4.3.5.....2...1...5.8...4.3...4...7,W4-JPF-041,8,1
..1.....2.3...4.5.4.....6.......7.3.....8...1.4.5.3.....6...1...5.4...7.8...7...6,W4-JPF-042,3,2
..1.....2.3...4.5.6.....1.......5.7.....2...3.4.6.3.....8...6...7.5...4.1...4...8,W4-JPF-045,3,1
..1.....2.3...4.5.6.....7.......8.4.....6...3.8.9.3.....6...2...4.5...8.2...4...1,W4-JPF-046,3,1
..1.....2.3...4.5.6.....1.......7.3.....8...1.4.3.5.....4...2...5.4...7.8...7...6,W4-JPF-049,3,1
..1.....2.3...4.5.6.....7.......5.4.....7...8.4.3.8.....4...2...5.8...3.2...6...1,W4-JPF-050,8,1
..1.....2.3...4.5.6.....7.......3.4.....2...3.8.4.5.....7...5...4.3...8.1...6...7,W4-JPF-054,8,1
..1.....2.3...4.5.6.....7.......3.8.....6...5.9.5.8.....6...1...4.8...3.1...4...6,W4-JPF-055,3,2
..1.....2.3...4.5.2.....6.......7.3.....2...6.1.5.3.....6...2...5.4...7.8...7...9,W4-JPF-056,3,2
..1.....2.3...4.5.2.....6.......3.7.....8...3.5.4.7.....6...2...4.5...3.8...3...1,W4-JPF-057,3,1
..1.....2.3...4.5.2.....6.......3.4.....7...5.8.9.5.....7...1...4.5...3.1...3...6,W4-JPF-059,3,1
..1.....2.3...4.5.6.....7.......5.4.....7...6.8.4.3.....6...3...4.3...8.2...5...1,W4-JPF-060,4,1
..1.....2.3...4.5.2.....6.......2.4.....6...7.2.5.8.....6...7...5.4...3.7...8...1,W4-JPF-061,3,1
..1.....2.3...4.5.6.....7.......5.4.....1...3.8.3.9.....6...2...4.5...8.2...4...1,W4-JPF-062,3,1
..1.....2.3...4.5.6.....1.......7.3.....8...5.9.2.5.....2...8...4.5...9.1...9...6,W4-JPF-063,3,1
..1.....2.3...4.5.2.....1.......6.3.....1...7.7.5.3.....2...8...5.3...6.9...6...1,W4-JPF-065,3,2
..1.....2.3...4.5.2.....1.......6.3.....1...7.7.5.3.....2...8...5.3...7.9...6...1,W4-JPF-066,3,2
..1.....2.3...4.5.6.....1.......7.8.....2...3.5.3.8.....2...6...4.8...7.8...1...9,W4-JPF-067,3,1
..1.....2.3...4.5.2.....1.......5.3.....6...7.4.3.7.....8...2...6.7...4.9...2...1,W4-JPF-071,3,2
..1.....2.3...4.5.2.....6.......5.1.....7...3.8.3.1.....7...2...5.8...3.6...2...9,W4-JPF-072,3,1
..1.....2.3...4.5.6.....4.......5.7.....2...3.4.8.3.....2...6...7.5...8.1...6...9,W4-JPF-073,3,1
..1.....2.3...4.5.6.....1.......5.3.....7...8.5.3.8.....2...6...4.5...8.7...3...1,W4-JPF-074,4,1
..1.....2.3...4.5.6.....7.......3.8.....2...5.9.5.8.....6...2...4.3...9.2...5...1,W4-JPF-076,3,1
..1.....2.3...4.5.6.....1.......7.3.....6...1.8.3.5.....8...2...5.4...7.1...3...9,W4-JPF-077,3,1
..1.....2.3...4.5.2.....1.......6.3.....1...7.4.3.5.....8...2...5.6...4.9...5...1,W4-JPF-079,3,2
..1.....2.3...4.5.6.....7.......3.4.....6...8.5.4.9.....6...2...4.3...8.2...9...6,W4-JPF-082,3,1
..1.....2.3...4.5.2.....1.......3.4.....1...6.6.4.7.....2...8...5.7...3.9...3...1,W4-JPF-083,3,2
..1.....2.3...4.5.6.....1.......7.3.....2...4.6.3.5.....8...2...4.7...6.1...4...9,W4-JPF-084,3,1
..1.....2.3...4.5.6.....7.......3.8.....6...5.4.5.8.....6...1...5.8...3.1...9...6,W4-JPF-085,3,2
..1.....2.3...4.5.2.....6.......5.3.....7...1.5.8.9.....2...9...4.5...8.8...2...7,W4-JPF-087,4,1
..1.....2.3...4.5.6.....7.......5.3.....7...4.4.3.8.....6...1...5.8...4.7...9...6,W4-JPF-088,3,1
..1.....2.3...4.5.6.....7.......5.6.....1...8.9.3.6.....7...1...4.5...9.1...4...7,W4-JPF-091,3,2
..1.....2.3...4.5.6.....7.......5.3.....2...8.8.3.9.....2...6...4.9...8.1...6...3,W4-JPF-094,3,1
..1.....2.3...4.5.6.....1.......5.7.....1...6.5.7.3.....5...2...7.3...8.1...4...9,W4-JPF-097,3,1
..1.....2.3...4.5.6.....7.......7.4.....6...5.5.4.8.....6...2...4.3...9.2...1...7,W4-JPF-101,3,1
..1.....2.3...4.5.6.....7.......5.3.....2...1.5.7.8.....6...1...8.5...4.7...8...6,W4-JPF-102,3,1
..1.....2.3...4.5.6.....7.......5.6.....1...8.9.6.3.....7...1...4.5...9.1...4...7,W4-JPF-103,3,2
..1.....2.3...4.5.6.....7.......5.4.....1...3.8.9.3.....6...2...4.5...8.2...4...1,W4-JPF-105,3,1
..1.....2.3...4.5.6.....7.......5.8.....7...4.4.8.3.....6...2...8.3...4.2...8...6,W4-JPF-106,3,1
..1.....2.3...4.5.6.....7.......5.3.....6...8.9.8.3.....6...1...5.9...4.1...4...6,W4-JPF-109,3,2
..1.....2.3...4.5.6.....7.......3.8.....6...1.5.8.9.....5...6...8.3...9.1...2...3,W4-JPF-110,3,1
..1.....2.3...4.5.5.....1.......6.3.....7...1.4.3.5.....2...7...5.6...8.7...8...9,W4-JPF-111,3,1
..1.....2.3...4.5.6.....1.......5.6.....2...7.5.6.3.....8...7...4.5...3.2...4...8,W4-JPF-112,8,1
..1.....2.3...4.5.2.....1.......6.4.....1...7.6.5.3.....2...8...5.7...6.9...6...1,W4-JPF-114,3,2
..1.....2.3...1.4.2.....5.......6.7.....5...8.1.3.7.....5...8...6.4...3.3...2...9,W4-JPF-117,3,1
..1.....2.3...4.5.2.....6.......5.7.....8...1.5.3.9.....2...9...4.5...3.3...2...8,W4-JPF-118,4,1
..1.....2.3...4.5.6.....7.......8.3.....6...4.8.5.3.....7...1...4.9...8.5...4...7,W4-JPF-119,3,1
..1.....2.3...4.5.6.....7.......5.4.....6...3.8.4.3.....6...1...5.8...9.1...9...6,W4-JPF-120,3,2
..1.....2.3...4.5.6.....7.......5.3.....2...1.5.3.6.....6...1...8.5...4.7...8...6,W4-JPF-121,3,1
..1.....2.3...4.5.6.....7.......5.4.....2...3.8.9.3.....6...1...5.8...3.1...4...6,W4-JPF-122,3,1
..1.....2.3...4.5.6.....7.......5.8.....6...3.8.4.3.....7...1...5.8...3.2...3...7,W4-JPF-123,3,1
..1.....2.3...2.4.5.....6.......4.7.....5...1.4.7.3.....8...5...7.4...3.6...2...8,W4-JPF-124,8,1
..1.....2.3...4.5.2.....6.......5.7.....6...3.8.4.3.....9...3...7.5...8.6...2...9,W4-JPF-126,4,1
..1.....2.3...4.5.6.....7.......3.8.....1...5.4.8.5.....6...1...9.5...4.1...9...6,W4-JPF-127,3,2
..1.....2.3...4.5.6.....7.......8.4.....1...5.9.5.3.....7...1...5.8...9.1...4...7,W4-JPF-128,3,2
..1.....2.3...4.5.6.....7.......3.8.....6...5.4.5.8.....6...1...9.8...4.1...9...6,W4-JPF-130,3,2
..1.....2.3...4.5.6.....7.......8.3.....2...7.9.7.5.....6...1...5.3...9.7...4...6,W4-JPF-131,3,1
..1.....2.3...4.5.6.....7.......5.3.....7...8.5.3.8.....6...2...4.5...8.2...4...6,W4-JPF-132,3,1
..1.....2.3...4.5.6.....4.......7.8.....6...5.8.3.5.....6...1...7.5...3.9...1...6,W4-JPF-135,3,2
..1.....2.3...4.5.6.....1.......5.7.....2...4.8.3.7.....3...9...4.5...8.2...4...1,W4-JPF-139,3,1
..1.....2.3...4.5.2.....6.......5.7.....8...1.5.9.3.....2...3...4.5...9.9...2...8,W4-JPF-141,4,1
..1.....2.3...4.5.6.....7.......5.3.....7...6.2.3.8.....6...2...5.4...8.7...5...9,W4-JPF-146,3,2
..1.....2.3...4.5.6.....1.......7.3.....6...8.6.5.3.....9...6...5.4...9.8...7...1,W4-JPF-148,3,1
..1.....2.3...1.4.5.....3.......6.3.....7...5.6.3.8.....7...5...4.6...8.2...9...7,W4-JPF-151,3,1
..1.....2.3...4.5.6.....7.......8.3.....2...4.8.3.5.....7...1...4.9...8.5...4...7,W4-JPF-152,3,1
..1.....2.3...4.5.2.....6.......3.7.....1...6.8.5.7.....9...3...5.4...8.8...2...1,W4-JPF-154,3,1
..1.....2.3...4.5.6.....1.......5.7.....2...4.7.6.3.....8...6...4.5...3.2...4...8,W4-JPF-155,3,1
..1.....2.3...4.5.6.....1.......5.7.....2...8.9.3.7.....6...3...7.5...4.2...1...9,W4-JPF-158,3,1
..1.....2.3...4.5.2.....6.......7.3.....8...5.4.9.3.....6...2...9.5...4.8...4...1,W4-JPF-159,3,1
..1.....2.3...4.5.6.....1.......2.7.....8...5.5.9.3.....2...8...7.3...4.8...2...1,W4-JPF-163,3,1
..1.....2.3...4.5.6.....7.......5.3.....1...8.9.8.3.....7...1...4.3...9.1...4...7,W4-JPF-164,3,2
..1.....2.3...4.5.6.....7.......5.8.....6...3.4.8.3.....7...2...5.4...3.2...5...1,W4-JPF-166,3,1
..1.....2.3...4.5.6.....7.......5.8.....1...3.9.8.3.....6...1...4.9...3.1...4...6,W4-JPF-167,3,2
..1.....2.3...4.5.6.....1.......7.3.....6...7.5.8.3.....6...9...4.3...7.1...4...6,W4-JPF-168,3,2
..1.....2.3...4.5.6.....7.......8.4.....1...5.9.3.5.....7...1...5.8...9.1...4...7,W4-JPF-170,3,2
..1.....2.3...4.5.6.....7.......5.8.....7...1.5.8.3.....4...6...8.5...3.7...2...4,W4-JPF-171,8,1
..1.....2.3...4.5.6.....4.......5.3.....1...7.4.3.7.....6...2...5.4...7.2...8...1,W4-JPF-172,4,1
..1.....2.3...4.5.6.....1.......3.4.....7...5.5.4.8.....2...6...8.5...3.7...8...1,W4-JPF-173,3,1
..1.....2.3...4.5.6.....7.......8.4.....1...5.9.3.5.....7...1...4.9...8.1...4...7,W4-JPF-174,3,2
..1.....2.3...4.5.6.....7.......8.3.....6...5.9.5.3.....6...1...4.8...9.1...4...6,W4-JPF-176,3,2
..1.....2.3...4.5.4.....6.......5.3.....2...7.8.4.3.....6...7...5.8...4.3...1...6,W4-JPF-179,8,1
..1.....2.3...4.5.6.....7.......5.4.....1...6.8.4.3.....8...1...4.5...3.7...2...5,W4-JPF-188,8,1
..1.....2.3...2.4.5.....6.......4.7.....5...1.7.3.8.....9...7...8.4...2.1...9...5,W4-JPF-190,3,1
..1.....2.3...4.5.2.....6.......7.3.....1...8.5.8.3.....2...1...4.3...8.1...4...9,W4-JPF-192,3,2
..1.....2.3...4.5.6.....1.......7.8.....9...1.7.8.3.....2...9...4.5...7.9...4...5,W4-JPF-193,3,1
..1.....2.3...4.1.2.....5.......3.6.....7...3.8.1.6.....2...9...1.8...4.7...2...5,W4-JPF-197,3,1
..1.....2.3...4.5.2.....6.......3.1.....7...3.8.5.1.....2...9...5.8...4.7...2...6,W4-JPF-198,3,1
..1.....2.3...4.5.2.....6.......5.3.....1...7.8.7.3.....2...1...4.3...7.1...4...9,W4-JPF-199,3,2
..1.....2.3...4.5.6.....1.......7.4.....2...6.8.3.5.....8...9...4.7...8.2...1...5,W4-JPF-200,3,1
..1.....2.3...4.5.6.....7.......3.4.....2...3.8.4.5.....7...6...4.3...8.5...1...7,W4-JPF-201,3,1
..1.....2.3...4.5.6.....7.......8.3.....7...5.9.3.5.....4...6...5.8...9.1...6...7,W4-JPF-202,3,1
..1.....2.3...4.5.6.....1.......5.7.....1...8.4.3.7.....8...3...7.5...4.2...4...1,W4-JPF-203,3,1
..1.....2.3...4.5.6.....7.......5.8.....6...1.4.3.8.....7...3...8.5...4.2...4...7,W4-JPF-204,3,1
..1.....2.3...4.5.4.....6.......3.7.....6...8.4.5.7.....2...8...5.4...3.8...7...1,W4-JPF-205,3,1
..1.....2.3...4.5.6.....7.......8.3.....7...5.9.5.3.....3...6...4.8...9.1...6...7,W4-JPF-208,3,1
..1.....2.3...1.4.5.....6.......3.1.....5...7.8.4.7.....2...5...4.7...8.9...2...6,W4-JPF-214,3,1
..1.....2.3...4.5.6.....1.......7.3.....2...6.8.5.3.....8...6...5.4...7.2...7...9,W4-JPF-215,3,1
..1.....2.3...4.5.6.....1.......7.4.....8...7.7.9.5.....6...8...4.3...7.2...4...6,W4-JPF-216,3,1
..1.....2.3...4.5.6.....7.......1.8.....7...9.1.5.8.....9...2...5.4...3.2...3...7,W4-JPF-217,3,1
..1.....2.3...4.5.2.....6.......5.3.....2...6.7.3.8.....2...7...5.4...8.6...8...9,W4-JPF-218,3,2
..1.....2.3...4.5.6.....7.......5.3.....7...6.1.3.8.....6...2...5.4...8.7...8...9,W4-JPF-219,3,1
..1.....2.3...4.5.2.....6.......7.3.....8...6.5.9.1.....8...2...4.3...9.6...4...1,W4-JPF-220,3,1
..1.....2.3...4.5.2.....6.......7.3.....1...8.5.8.3.....2...1...7.3...8.1...4...9,W4-JPF-224,3,2
..1.....2.3...4.5.6.....7.......5.8.....6...1.8.3.9.....9...8...4.5...7.1...7...6,W4-JPF-225,3,1
..1.....2.3...4.5.6.....7.......8.4.....1...5.9.5.3.....7...1...4.8...9.1...4...7,W4-JPF-226,3,2
..1.....2.3...4.5.6.....7.......8.3.....1...5.9.3.5.....7...1...8.9...4.1...4...7,W4-JPF-228,3,2
..1.....2.3...4.5.6.....1.......5.7.....2...4.8.3.7.....3...7...4.5...8.2...4...1,W4-JPF-230,3,2
..1.....2.3...4.5.2.....6.......7.8.....1...3.5.3.8.....2...1...4.7...3.1...4...9,W4-JPF-231,3,2
..1.....2.3...4.5.6.....7.......5.8.....7...6.4.8.9.....6...2...5.4...9.7...9...3,W4-JPF-233,3,1
..1.....2.3...4.5.6.....1.......6.4.....7...5.5.4.8.....6...2...4.3...9.2...1...7,W4-JPF-236,3,1
..1.....2.3...4.5.2.....6.......7.3.....2...6.8.5.3.....8...2...5.4...7.6...7...9,W4-JPF-238,3,2
..1.....2.3...4.5.6.....7.......5.8.....6...1.5.8.3.....4...6...8.5...3.7...2...4,W4-JPF-239,8,1
..1.....2.3...4.5.6.....7.......1.8.....6...4.5.9.3.....7...2...8.3...4.2...8...6,W4-JPF-241,3,1
..1.....2.3...4.5.6.....7.......8.3.....7...5.4.5.3.....6...1...5.8...4.2...4...6,W4-JPF-245,3,1
..1.....2.3...4.5.2.....6.......7.4.....8...5.4.3.9.....6...2...5.7...3.1...3...8,W4-JPF-246,3,1
..1.....2.3...4.5.2.....6.......6.3.....7...8.6.5.3.....8...1...5.6...4.1...4...7,W4-JPF-250,8,1
..1.....2.3...4.5.6.....7.......8.9.....6...4.9.1.5.....7...2...4.9...3.2...4...1,W4-JPF-251,4,1
..1.....2.3...4.5.6.....7.......3.4.....6...8.5.4.8.....6...2...4.3...8.2...9...6,W4-JPF-252,3,2
..1.....2.3...4.5.6.....7.......3.8.....1...5.9.8.5.....7...1...8.9...3.1...4...7,W4-JPF-253,3,2
..1.....2.3...4.5.6.....7.......5.3.....2...6.5.7.3.....8...6...4.5...7.1...3...8,W4-JPF-254,3,1
..1.....2.3...4.5.2.....6.......5.3.....7...8.4.9.3.....2...3...5.4...9.7...6...5,W4-JPF-255,3,1
..1.....2.3...4.5.6.....1.......7.4.....2...8.7.3.9.....5...6...9.5...7.2...1...9,W4-JPF-258,3,1
..1.....2.3...1.4.5.....6.......4.7.....2...8.1.3.7.....5...3...7.4...1.8...6...5,W4-JPF-259,3,1
..1.....2.3...4.5.6.....7.......8.9.....2...1.8.3.9.....2...4...4.5...3.1...4...6,W4-JPF-261,3,1
..1.....2.3...4.5.2.....1.......5.6.....7...1.8.3.6.....6...9...5.6...3.1...4...7,W4-JPF-264,3,1
..1.....2.3...4.5.6.....7.......5.3.....6...8.4.3.8.....6...1...5.8...4.1...9...6,W4-JPF-265,3,2
..1.....2.3...4.5.6.....7.......5.3.....6...8.4.3.8.....6...2...8.5...4.2...9...6,W4-JPF-266,3,2
..1.....2.3...4.5.4.....6.......5.3.....2...7.8.4.3.....6...7...5.3...4.7...1...8,W4-JPF-268,4,1
..1.....2.3...4.5.6.....1.......5.7.....2...8.5.9.7.....2...6...7.4...3.9...1...7,W4-JPF-269,4,1
..1.....2.3...4.5.6.....1.......3.7.....1...8.5.7.2.....9...8...7.4...3.8...3...1,W4-JPF-270,4,2
..1.....2.3...4.5.6.....7.......3.8.....6...5.5.8.9.....6...2...8.5...3.2...9...7,W4-JPF-275,3,1
..1.....2.3...4.5.6.....1.......3.4.....7...6.4.8.9.....2...4...9.5...3.7...9...1,W4-JPF-276,3,1
..1.....2.3...4.5.6.....7.......8.3.....2...1.9.3.5.....2...5...4.5...9.1...4...7,W4-JPF-277,3,1
..1.....2.3...4.5.6.....7.......5.4.....2...6.4.3.8.....6...1...8.5...2.2...7...9,W4-JPF-280,3,1
..1.....2.3...4.5.6.....1.......7.4.....2...8.7.3.5.....9...6...5.9...7.2...1...5,W4-JPF-281,3,1
..1.....2.3...4.5.2.....6.......7.4.....6...5.4.3.8.....6...1...5.7...3.1...8...7,W4-JPF-282,3,1
..1.....2.3...4.5.6.....7.......5.3.....1...8.4.3.8.....7...1...5.8...9.1...4...7,W4-JPF-291,3,2
.43.21...1.87.....9...3.....7.2...5.8.54.73.2.3...9.8.....7...8.....85.4...59.72. ,W4-Draco-001,4,1
...123.....1...4...2.....5.6....7..37.......62..8....4.3.....7...8...2.....946...,W4-tarek-013,3,1
...123.....2...1...4.....5.4....6..33.......72..8....9.5.....4...9...8.....917...,W4-tarek-014,3,1
...123.....2...1...4.....5.4....6..33.......72..4....8.5.....4...8...9.....817...,W4-tarek-015,3,1
...123.....4...1...5.....6.6....7..82.......31..5....9.9.....7...6...2.....914...,W4-tarek-016,3,1
...123.....4...1...5.....6.7....6...6.......52..8....1.6.....3...9...2.....415...,W4-tarek-017,3,1
...123.....4...1...2.....5.3....4..64.......37..5....1.1.....7...6...4.....789...,W4-tarek-018,3,1
...123.....2...4...5.....6.7....1..38.......74..8....1.3.....7...9...8.....247...,W4-tarek-019,3,1
...123.....4...5...6.....7.1..6....83.......1.....9..3.5.....2...9...3.....875...,W4-tarek-020,3,1
...123.....4...5...6.....7.1..6....83.......1.....9..3.5.....2...9...3.....865...,W4-tarek-021,3,1
...123.....1...4...5.....6.6....2..51.......37..8....1.2.....5...3...8.....795...,W4-tarek-022,7,1
...123.....3...2...4.....5.5..6....13.......71....8..9.5.....8...9...4.....792...,W4-tarek-023,3,1
...123.....3...2...4.....5.6..7....13.......81....6..9.5.....6...9...4.....892...,W4-tarek-024,3,1
...123.....3...2...4.....5.6..7....13.......81....6..5.9.....6...5...4.....852...,W4-tarek-025,3,1
...123.....4...5...1.....6.7..6....15.......76....4..3.8.....2...3...9.....785...,W4-tarek-026,3,1
...123.....2.......4.....5.6..5....15.......72....8..3.1.....4...8...3.....692...,W4-tarek-027,3,1
...123.....2.......4.....5.6..4....15.......72....8..3.1.....4...8...3.....692...,W4-tarek-028,3,1
...123.....4...5...2.....6.3....6..25.......77..4....1.6.....3...1...8.....592...,W4-tarek-029,3,1
...123.....3...2...4.....5.3....5..61...7...89.......1.5.....9...8...4.....682...,W4-tarek-030,3,1
...123.........1...4.....5.3....6..72.......89..5....1.5.....4...8...3.....782...,W4-tarek-031,3,1
...123.........1...4.....5.3....6..72.......89..4....1.5.....4...8...3.....782...,W4-tarek-032,3,1
...123.....4...1...5.....2.3....6..77.......65..8....1.1.....8...6...3.....957...,W4-tarek-033,3,1
1....23...4..1......56....2..7.....6.3.....5.8.....4..3....81......5..6...62....9,W4-tarek-034,3,1
1....23...4..3......56....7..7.....6.5.....8.2.....1..3....92......1..3...67....5,W4-tarek-035,4,2
1....23...4..5......56....7..7.....4.6.....3.3.....2..2....31......8..9...15....6,W4-tarek-036,3,1
1....23...4..5......64....1..7.....5.2.....8.3.....7..7....31......7..2...56....4,W4-tarek-037,3,1
1....23...3..1......45....6..5.....2.1.....6.7.....8..8....71......5..9...26....5,W4-tarek-038,4,1
1....23...4..5......64....7..7.....6.8.....3.3.....2..2....38......9..1...87....4,W4-tarek-039,3,1
1....23...4..5......56....7..3.....4.6.....1.2.....8..3....15......8..2...64....3,W4-tarek-040,3,1
1....23...4..5......56....7..7.....4.6.....2.2.....1..3....82......1..3...45....6,W4-tarek-041,4,1
1....23...4..3......56....7..8.....5.6.....8.2.....4..4....32......4..7...75....6,W4-tarek-042,4,1
1....23...4..5......34....6..6.....4.7.....8.8.....5..2....81......1..2...46....3,W4-tarek-043,4,1
1....23...4..1......56....7..7.....6.3.....2.2.....4..5....81......9..7...67....5,W4-tarek-044,4,1
1....23...2..4......56....7..6.....8.4.....7.3.....2..6....14......3..5...87....6,W4-tarek-045,3,1
1....23...4..3......56....4..4.....5.6.....7.2.....1..8....32......8..1...34....6,W4-tarek-046,7,1
1....23...2..4......45....6..6.....7.4.....8.9.....6..8....35......7..2...56....4,W4-tarek-047,3,1
1....23...4..3......56....7..7.....2.6.....8.3.....1..7....39......1..6...65....4,W4-tarek-048,3,1
1....23...4..3......54....1..4.....6.7.....5.3.....1..2....38......8..2...65....7,W4-tarek-049,4,1
1....23...2..4......56....7..6.....5.3.....2.2.....4..4....31......5..8...87....6,W4-tarek-050,3,1
1....23...4..5......63....4..4.....5.7.....1.3.....2..6....31......1..8...54....6,W4-tarek-051,7,1
1....23...2..1......45....6..7.....4.3.....5.8.....9..9....18......9..7...54....2,W4-tarek-052,3,1
1....23...4..5......56....4..1.....6.5.....1.7.....2..2....31......8..7...64....5,W4-tarek-053,3,1
1....23...4..1......56....7..8.....5.9.....7.3.....4..4....32......4..8...78....6,W4-tarek-054,3,1
1....23...2..4......56....4..7.....5.3.....2.2.....8..8....31......7..4...45....6,W4-tarek-055,3,1
1....23...3..4......56....7..7.....8.6.....7.2.....1..4....12......3..5...27....6,W4-tarek-056,3,1
1....23...4..3......56....7..7.....8.2.....5.3.....1..9....32......7..6...15....9,W4-tarek-057,3,1
1....23...4..5......56....7..8.....5.6.....4.9.....1..3....92......1..9...47....6,W4-tarek-058,3,1
1....23...3..4......45....6..6.....7.1.....8.8.....2..9....18......8..2...57....3,W4-tarek-059,3,1
